name,iso2,iso3,numericCode,phonecode,capital,currency,currencyName,currencySymbol,native,emoji,emojiU
"Afghanistan","","","","93","","AFN","","","","",""
"Aland Islands","","","","+358-18","","EUR","","","","",""
"Albania","","","","355","","ALL","","","","",""
"Algeria","","","","213","","DZD","","","","",""
"American Samoa","","","","+1-684","","USD","","","","",""
"Andorra","","","","376","","EUR","","","","",""
"Angola","","","","244","","AOA","","","","",""
"Anguilla","","","","+1-264","","XCD","","","","",""
"Antarctica","","","","672","","AAD","","","","",""
"Antigua And Barbuda","","","","+1-268","","XCD","","","","",""
"Argentina","","","","54","","ARS","","","","",""
"Armenia","","","","374","","AMD","","","","",""
"Aruba","","","","297","","AWG","","","","",""
"Australia","","","","61","","AUD","","","","",""
"Austria","","","","43","","EUR","","","","",""
"Azerbaijan","","","","994","","AZN","","","","",""
"The Bahamas","","","","+1-242","","BSD","","","","",""
"Bahrain","","","","973","","BHD","","","","",""
"Bangladesh","","","","880","","BDT","","","","",""
"Barbados","","","","+1-246","","BBD","","","","",""
"Belarus","","","","375","","BYN","","","","",""
"Belgium","","","","32","","EUR","","","","",""
"Belize","","","","501","","BZD","","","","",""
"Benin","","","","229","","XOF","","","","",""
"Bermuda","","","","+1-441","","BMD","","","","",""
"Bhutan","","","","975","","BTN","","","","",""
"Bolivia","","","","591","","BOB","","","","",""
"Bosnia and Herzegovina","","","","387","","BAM","","","","",""
"Botswana","","","","267","","BWP","","","","",""
"Bouvet Island","","","","0055","","NOK","","","","",""
"Brazil","","","","55","","BRL","","","","",""
"British Indian Ocean Territory","","","","246","","USD","","","","",""
"Brunei","","","","673","","BND","","","","",""
"Bulgaria","","","","359","","BGN","","","","",""
"Burkina Faso","","","","226","","XOF","","","","",""
"Burundi","","","","257","","BIF","","","","",""
"Cambodia","","","","855","","KHR","","","","",""
"Cameroon","","","","237","","XAF","","","","",""
"Canada","","","","1","","CAD","","","","",""
"Cape Verde","","","","238","","CVE","","","","",""
"Cayman Islands","","","","+1-345","","KYD","","","","",""
"Central African Republic","","","","236","","XAF","","","","",""
"Chad","","","","235","","XAF","","","","",""
"Chile","","","","56","","CLP","","","","",""
"China","","","","86","","CNY","","","","",""
"Christmas Island","","","","61","","AUD","","","","",""
"Cocos (Keeling) Islands","","","","61","","AUD","","","","",""
"Colombia","","","","57","","COP","","","","",""
"Comoros","","","","269","","KMF","","","","",""
"Congo","","","","242","","XAF","","","","",""
"Democratic Republic of the Congo","","","","243","","CDF","","","","",""
"Cook Islands","","","","682","","NZD","","","","",""
"Costa Rica","","","","506","","CRC","","","","",""
"Cote D'Ivoire (Ivory Coast)","","","","225","","XOF","","","","",""
"Croatia","","","","385","","HRK","","","","",""
"Cuba","","","","53","","CUP","","","","",""
"Cyprus","","","","357","","EUR","","","","",""
"Czech Republic","","","","420","","CZK","","","","",""
"Denmark","","","","45","","DKK","","","","",""
"Djibouti","","","","253","","DJF","","","","",""
"Dominica","","","","+1-767","","XCD","","","","",""
"Dominican Republic","","","","+1-809 and 1-829","","DOP","","","","",""
"East Timor","","","","670","","USD","","","","",""
"Ecuador","","","","593","","USD","","","","",""
"Egypt","","","","20","","EGP","","","","",""
"El Salvador","","","","503","","USD","","","","",""
"Equatorial Guinea","","","","240","","XAF","","","","",""
"Eritrea","","","","291","","ERN","","","","",""
"Estonia","","","","372","","EUR","","","","",""
"Ethiopia","","","","251","","ETB","","","","",""
"Falkland Islands","","","","500","","FKP","","","","",""
"Faroe Islands","","","","298","","DKK","","","","",""
"Fiji Islands","","","","679","","FJD","","","","",""
"Finland","","","","358","","EUR","","","","",""
"France","","","","33","","EUR","","","","",""
"French Guiana","","","","594","","EUR","","","","",""
"French Polynesia","","","","689","","XPF","","","","",""
"French Southern Territories","","","","262","","EUR","","","","",""
"Gabon","","","","241","","XAF","","","","",""
"The Gambia","","","","220","","GMD","","","","",""
"Georgia","","","","995","","GEL","","","","",""
"Germany","","","","49","","EUR","","","","",""
